pkt_rate,loss_rate,avg_iat_ms,burst_score,label
10.2438,0.0351,106.0036,0.2441,0
8.4392,0.0780,101.0227,0.2751,0
9.9866,0.0360,107.0352,0.3244,0
10.0528,0.0658,103.7401,0.0795,0
10.2950,0.0051,107.0276,0.2211,0
9.8521,0.0284,109.7803,0.3126,0
9.6573,0.0156,104.2585,0.0153,0
10.3302,0.0546,117.1332,0.3386,0
9.5902,0.0296,104.9278,0.0663,0
9.9088,0.0381,93.4042,0.2344,0
10.5946,0.0666,90.6304,0.1093,0
9.4676,0.0644,100.9335,0.1009,0
10.6971,0.0112,105.4313,0.0026,0
10.2313,0.0532,88.3428,0.2733,0
9.6237,0.0455,97.7989,0.0401,0
9.3073,0.0377,86.5370,0.2677,0
10.1302,0.0443,105.6898,0.1064,0
9.7210,0.0349,106.8638,0.1430,0
8.9795,0.0187,92.6444,0.0985,0
10.1139,0.0530,96.5820,0.2744,0
10.5005,0.0325,103.6542,0.0584,0
9.7096,0.0072,90.4333,0.1617,0
9.6245,0.0401,103.8460,0.2437,0
10.5323,0.0305,96.6136,0.2206,0
8.6501,0.0070,89.4184,0.3367,0
10.3198,0.0560,96.9747,0.3392,0
9.7150,0.0574,92.5311,0.0953,0
9.2400,0.0722,106.7225,0.0708,0
10.3475,0.0463,95.2468,0.2998,0
10.0577,0.0576,101.8614,0.2196,0
11.2814,0.0520,91.8120,0.1455,0
10.1760,0.0395,106.6809,0.0506,0
11.1706,0.0470,94.8820,0.3238,0
9.6882,0.0277,105.0812,0.0080,0
8.8234,0.0386,102.5081,0.0290,0
11.5974,0.0393,103.3153,0.2001,0
8.2944,0.0214,93.4965,0.1822,0
9.5103,0.0017,108.5278,0.3137,0
9.8731,0.0443,86.6025,0.2353,0
9.9570,0.0582,101.0422,0.0377,0
9.6006,0.0184,92.2791,0.1942,0
11.7028,0.0664,106.7079,0.1110,0
10.7453,0.0233,98.7469,0.0896,0
9.4762,0.0132,96.3601,0.1523,0
8.9776,0.0713,112.6327,0.3118,0
9.9051,0.0415,110.4480,0.2702,0
9.6713,0.0299,103.4301,0.2614,0
10.1466,0.0749,89.0547,0.0430,0
11.3789,0.0123,96.9345,0.2098,0
9.1144,0.0248,105.1466,0.3401,0
9.9959,0.0115,102.7006,0.0804,0
10.0725,0.0542,83.5986,0.1772,0
9.3254,0.0465,92.9748,0.2814,0
10.7327,0.0591,100.2451,0.0433,0
10.3908,0.0318,97.3786,0.1710,0
10.4305,0.0764,98.7640,0.3237,0
9.8209,0.0444,101.4126,0.0371,0
10.0724,0.0335,120.1398,0.2086,0
9.3174,0.0643,88.2925,0.2747,0
10.2525,0.0087,94.1673,0.2789,0
8.2822,0.0425,91.5007,0.3037,0
11.7688,0.0330,92.9851,0.2282,0
8.5938,0.0363,117.0340,0.0828,0
9.1226,0.0653,123.2405,0.0233,0
9.7054,0.0117,113.8296,0.1086,0
9.8038,0.0737,103.4781,0.0997,0
9.8929,0.0092,98.0946,0.0194,0
10.1857,0.0043,103.7723,0.2383,0
10.1243,0.0254,100.4252,0.3063,0
9.4228,0.0035,99.2217,0.0873,0
11.2587,0.0333,93.8955,0.1308,0
10.2089,0.0081,109.5291,0.0182,0
10.3841,0.0079,107.4195,0.3159,0
9.1117,0.0642,102.1097,0.2249,0
9.7663,0.0108,97.9842,0.1800,0
11.1772,0.0370,98.1052,0.2238,0
10.2368,0.0112,85.9462,0.1459,0
11.3819,0.0294,106.9106,0.1146,0
9.9509,0.0549,97.3244,0.3321,0
10.4661,0.0385,109.4193,0.1874,0
11.3951,0.0522,106.6239,0.1865,0
10.0532,0.0231,107.9167,0.0708,0
10.6259,0.0689,100.5632,0.2150,0
10.6007,0.0581,105.8462,0.3276,0
9.9464,0.0767,95.8538,0.2078,0
10.5100,0.0636,91.8903,0.0887,0
9.0268,0.0076,102.4961,0.1977,0
10.4870,0.0373,102.4349,0.2674,0
10.3311,0.0394,83.4941,0.3259,0
10.4727,0.0094,111.8076,0.2303,0
10.6773,0.0619,106.5101,0.1168,0
10.1863,0.0610,102.1627,0.1275,0
9.8820,0.0126,103.0672,0.3276,0
9.1532,0.0307,111.8516,0.1935,0
9.3422,0.0624,106.7551,0.1317,0
11.0632,0.0574,106.7346,0.0415,0
11.8621,0.0510,83.9718,0.2059,0
9.6338,0.0010,110.4764,0.2889,0
8.9987,0.0367,93.6469,0.1057,0
10.4194,0.0625,88.6979,0.3490,0
10.0435,0.0227,103.6751,0.0372,0
10.1106,0.0072,101.8337,0.0101,0
9.4363,0.0114,101.5742,0.0694,0
9.6850,0.0525,97.8733,0.0019,0
10.6636,0.0485,89.6282,0.0835,0
8.1331,0.0046,105.9955,0.3247,0
10.1582,0.0558,110.6215,0.0141,0
9.3844,0.0100,99.2153,0.2608,0
10.0737,0.0681,95.2448,0.2571,0
9.2895,0.0217,106.4287,0.3431,0
8.8943,0.0044,91.6756,0.0148,0
9.8951,0.0568,107.4264,0.0321,0
9.5729,0.0784,94.7657,0.2744,0
9.8486,0.0458,102.8954,0.3311,0
9.7258,0.0462,108.5378,0.2272,0
10.8917,0.0119,98.9509,0.1414,0
11.5608,0.0095,100.5550,0.0973,0
10.8610,0.0342,102.6646,0.2221,0
10.2511,0.0327,87.2835,0.2059,0
9.1061,0.0029,97.6545,0.1659,0
10.8848,0.0458,102.7817,0.2457,0
9.7725,0.0522,104.9534,0.2756,0
10.8511,0.0345,100.0507,0.1262,0
10.1785,0.0589,100.7322,0.3224,0
9.9546,0.0416,93.7641,0.1101,0
9.3188,0.0395,104.8999,0.0252,0
10.8682,0.0044,97.7100,0.1169,0
9.7531,0.0251,85.3488,0.0051,0
8.4074,0.0685,110.9109,0.0538,0
9.4244,0.0096,76.2838,0.3355,0
11.9363,0.0618,95.5234,0.2407,0
8.7512,0.0310,100.7958,0.0038,0
10.6326,0.0420,105.3466,0.0581,0
10.7183,0.0791,92.2388,0.2937,0
11.0686,0.0113,111.2306,0.1374,0
11.1640,0.0604,102.0658,0.1643,0
9.7106,0.0145,96.4115,0.0156,0
8.7474,0.0234,95.6898,0.2053,0
8.0846,0.0067,86.5083,0.2953,0
10.1981,0.0519,97.9730,0.2670,0
10.1627,0.0293,105.6548,0.1185,0
10.3080,0.0386,102.3713,0.2982,0
9.9303,0.0728,93.9718,0.2976,0
9.0044,0.0399,95.8898,0.0367,0
9.9435,0.0734,100.4091,0.0621,0
10.7201,0.0153,98.7228,0.3246,0
10.4387,0.0246,88.4150,0.0026,0
10.2096,0.0562,101.5187,0.3436,0
11.0689,0.0382,97.9799,0.3162,0
8.0721,0.0771,97.6498,0.3034,0
1.4564,0.7162,194.1047,0.6595,1
3.6164,0.8349,189.9863,0.4873,1
3.9350,0.7250,261.8478,0.3805,1
1.1638,0.7387,253.1470,0.9406,1
2.8599,0.8390,346.3869,0.8159,1
1.3393,0.6277,242.7046,0.9011,1
4.2903,0.3685,148.2962,0.3317,1
1.4371,0.6877,171.8639,0.8029,1
4.4618,0.7197,364.2438,0.3318,1
1.9381,0.6609,260.3413,0.3029,1
3.0585,0.6886,342.4023,0.5609,1
4.5825,0.6858,206.3473,0.8543,1
2.3921,0.7767,263.5258,0.6837,1
2.5878,0.4874,282.9069,0.4219,1
1.3392,0.5210,165.5035,0.8248,1
4.9950,0.4982,269.6407,0.3889,1
3.2995,0.8488,185.6296,0.6869,1
2.5695,0.8076,466.3043,0.3873,1
2.4615,0.3836,352.8533,0.3115,1
2.8131,0.6673,409.1267,0.5732,1
4.8368,0.7260,218.7819,0.4850,1
4.5880,0.4675,154.5907,0.8909,1
3.1182,0.7212,370.6360,0.7247,1
2.1975,0.4707,375.2227,0.4010,1
4.4973,0.4916,337.8170,0.8148,1
4.1353,0.5692,356.2577,0.9466,1
3.6984,0.7573,254.9240,0.8119,1
1.7407,0.6311,434.8537,0.7244,1
4.8214,0.6064,277.8815,0.3233,1
4.8391,0.4015,229.5825,0.4599,1
1.2621,0.5776,281.9006,0.5032,1
1.2038,0.4058,294.8741,0.3393,1
3.7928,0.4535,350.2694,0.5562,1
2.6664,0.3508,363.1497,0.8608,1
1.0049,0.6041,190.5698,0.5165,1
2.7253,0.7403,207.9948,0.4692,1
2.2900,0.4712,165.3025,0.7441,1
1.9130,0.5154,369.0586,0.3316,1
2.8431,0.7058,305.2447,0.3308,1
1.5528,0.8094,314.2307,0.4224,1
1.1251,0.4053,97.7458,0.4571,1
3.2768,0.6451,132.6148,0.3031,1
4.4135,0.6596,346.4668,0.8024,1
4.4220,0.4771,273.0662,0.5954,1
3.4137,0.8423,402.2444,0.8286,1
2.2736,0.7496,339.8291,0.4406,1
2.6561,0.5088,357.3216,0.3194,1
2.3859,0.3595,249.9427,0.7714,1
3.8324,0.7193,422.3299,0.8785,1
3.3753,0.4130,318.2518,0.7505,1
1.6918,0.6036,182.7613,0.3026,1
1.0663,0.8465,380.4792,0.3825,1
4.5892,0.7902,281.7377,0.7042,1
2.0927,0.3753,187.4716,0.4916,1
3.6545,0.7681,288.9584,0.6872,1
1.9251,0.7869,303.5022,0.6970,1
3.2142,0.5481,334.1352,0.7718,1
3.2678,0.7292,188.0215,0.5725,1
3.0583,0.3562,247.9895,0.6381,1
2.6318,0.3970,328.0308,0.5568,1
3.7303,0.4247,197.4514,0.4160,1
1.7982,0.7795,328.6371,0.4379,1
2.8792,0.7167,302.6199,0.5464,1
3.0681,0.7209,59.4449,0.8089,1
3.2797,0.4023,265.8174,0.8626,1
4.1924,0.3999,428.4737,0.7833,1
1.0926,0.8396,303.2019,0.7676,1
4.5503,0.5473,332.8927,0.6957,1
3.3240,0.5546,387.2098,0.9080,1
2.8706,0.4484,302.7977,0.5562,1
